### MD calculation ###
time	Kinetic Energy	Potential Energy	Energy
0	103.357	-1127.93	-1024.57
0.0113567	104.182	-1128.76	-1024.58
0.0227134	105.395	-1129.97	-1024.58
0.03407	107.002	-1131.58	-1024.58
0.0454267	109.013	-1133.59	-1024.58
0.0567834	111.442	-1136.02	-1024.58
0.0681401	114.3	-1138.88	-1024.58
0.0794967	117.602	-1142.18	-1024.58
0.0908534	121.359	-1145.94	-1024.58
0.10221	125.577	-1150.15	-1024.58
0.113567	130.252	-1154.83	-1024.58
0.124923	135.366	-1159.94	-1024.58
0.13628	140.879	-1165.45	-1024.58
0.147637	146.717	-1171.29	-1024.58
0.158993	152.763	-1177.34	-1024.58
0.17035	158.849	-1183.42	-1024.58
0.181707	164.752	-1189.33	-1024.58
0.193064	170.225	-1194.8	-1024.58
0.20442	175.049	-1199.63	-1024.58
0.215777	179.124	-1203.7	-1024.58
0.227134	182.548	-1207.12	-1024.58
0.23849	185.622	-1210.2	-1024.58
0.249847	188.719	-1213.29	-1024.58
0.261204	192.103	-1216.68	-1024.58
0.27256	195.85	-1220.43	-1024.58
0.283917	199.853	-1224.43	-1024.58
0.295274	203.93	-1228.51	-1024.58
0.30663	207.974	-1232.55	-1024.58
0.317987	211.929	-1236.51	-1024.58
0.329344	215.839	-1240.42	-1024.58
0.3407	219.807	-1244.38	-1024.58
0.352057	224.005	-1248.58	-1024.58
0.363414	228.583	-1253.16	-1024.58
0.37477	233.664	-1258.24	-1024.58
0.386127	239.235	-1263.81	-1024.58
0.397484	245.078	-1269.65	-1024.58
0.40884	250.875	-1275.45	-1024.58
0.420197	256.307	-1280.88	-1024.58
0.431554	261.125	-1285.7	-1024.58
0.44291	265.259	-1289.83	-1024.58
0.454267	268.859	-1293.44	-1024.58
0.465624	272.359	-1296.93	-1024.58
0.47698	276.07	-1300.65	-1024.58
0.488337	279.908	-1304.48	-1024.58
0.499694	283.698	-1308.27	-1024.58
0.51105	287.622	-1312.2	-1024.58
0.522407	291.771	-1316.35	-1024.58
0.533764	295.822	-1320.4	-1024.58
0.54512	299.247	-1323.82	-1024.58
0.556477	301.651	-1326.23	-1024.58
0.567834	302.748	-1327.32	-1024.58
0.579191	302.526	-1327.1	-1024.58
0.590547	301.637	-1326.21	-1024.58
0.601904	301.474	-1326.05	-1024.57
0.613261	303.231	-1327.81	-1024.57
0.624617	306.871	-1331.45	-1024.57
0.635974	311.298	-1335.87	-1024.57
0.647331	315.549	-1340.12	-1024.57
0.658687	319.334	-1343.91	-1024.57
0.670044	322.625	-1347.2	-1024.57
0.681401	325.215	-1349.79	-1024.57
0.692757	327.004	-1351.58	-1024.57
0.704114	328.241	-1352.81	-1024.57
0.715471	329.301	-1353.88	-1024.57
0.726827	330.423	-1355	-1024.57
0.738184	331.68	-1356.25	-1024.57
0.749541	333.246	-1357.82	-1024.57
0.760897	335.118	-1359.69	-1024.57
0.772254	336.828	-1361.4	-1024.57
0.783611	337.627	-1362.2	-1024.57
0.794967	337.417	-1361.99	-1024.57
0.806324	337.041	-1361.62	-1024.57
0.817681	337.283	-1361.86	-1024.57
0.829037	338.373	-1362.95	-1024.57
0.840394	340.481	-1365.06	-1024.57
0.851751	343.859	-1368.43	-1024.57
0.863107	348.479	-1373.05	-1024.57
0.874464	353.735	-1378.31	-1024.57
0.885821	358.693	-1383.27	-1024.57
0.897177	362.41	-1386.98	-1024.57
0.908534	364.369	-1388.94	-1024.57
0.919891	364.54	-1389.11	-1024.57
0.931247	363.454	-1388.03	-1024.57
0.942604	362.211	-1386.78	-1024.57
0.953961	361.829	-1386.4	-1024.57
0.965318	362.583	-1387.15	-1024.57
0.976674	364.029	-1388.6	-1024.57
0.988031	365.686	-1390.26	-1024.57
0.999388	367.571	-1392.14	-1024.57
1.01074	370.231	-1394.8	-1024.57
1.0221	374.05	-1398.62	-1024.57
1.03346	378.517	-1403.09	-1024.57
1.04481	382.393	-1406.97	-1024.57
1.05617	384.574	-1409.15	-1024.57
1.06753	384.449	-1409.02	-1024.57
1.07888	381.843	-1406.41	-1024.57
1.09024	377.54	-1402.11	-1024.57
1.1016	373.562	-1398.13	-1024.57
1.11295	372.187	-1396.76	-1024.57
1.12431	373.785	-1398.36	-1024.57
1.13567	377.159	-1401.73	-1024.57
