### MD calculation ###
time	Kinetic Energy	Potential Energy	Energy
0	99.0266	-517.822	-418.796
0.0113567	94.7004	-513.499	-418.799
0.0227134	83.7885	-502.587	-418.799
0.03407	74.2831	-493.082	-418.799
0.0454267	73.3109	-492.11	-418.799
0.0567834	81.8047	-500.604	-418.799
0.0681401	94.5094	-513.308	-418.799
0.0794967	105.168	-523.966	-418.799
0.0908534	111.542	-530.341	-418.799
0.10221	116.382	-535.18	-418.799
0.113567	124.494	-543.293	-418.799
0.124923	138.782	-557.581	-418.799
0.13628	158.524	-577.323	-418.799
0.147637	180.76	-599.559	-418.799
0.158993	203.1	-621.899	-418.799
0.17035	225.643	-644.442	-418.799
0.181707	250.72	-669.52	-418.799
0.193064	280.964	-699.763	-418.799
0.20442	317.441	-736.241	-418.799
0.215777	359.224	-778.023	-418.799
0.227134	404.288	-823.087	-418.799
0.23849	450.625	-869.424	-418.799
0.249847	496.704	-915.503	-418.799
0.261204	541.14	-959.938	-418.798
0.27256	582.707	-1001.51	-418.798
0.283917	620.654	-1039.45	-418.798
0.295274	654.204	-1073	-418.798
0.30663	682.398	-1101.2	-418.798
0.317987	705.208	-1124.01	-418.798
0.329344	724.089	-1142.89	-418.798
0.3407	741.302	-1160.1	-418.799
0.352057	758.524	-1177.32	-418.799
0.363414	775.33	-1194.13	-418.799
0.37477	789.703	-1208.5	-418.799
0.386127	799.647	-1218.45	-418.799
0.397484	804.961	-1223.76	-418.799
0.40884	808.171	-1226.97	-418.799
0.420197	812.97	-1231.77	-418.798
0.431554	820.22	-1239.02	-418.798
0.44291	827.794	-1246.59	-418.798
0.454267	833.614	-1252.41	-418.798
0.465624	835.021	-1253.82	-418.798
0.47698	833.019	-1251.82	-418.798
0.488337	832.426	-1251.22	-418.798
0.499694	833.545	-1252.34	-418.798
0.51105	830.905	-1249.7	-418.798
0.522407	822.927	-1241.72	-418.798
0.533764	814.696	-1233.49	-418.797
0.54512	809.488	-1228.29	-418.797
0.556477	808.277	-1227.07	-418.798
0.567834	809.945	-1228.74	-418.798
0.579191	809.302	-1228.1	-418.798
0.590547	802.82	-1221.62	-418.798
0.601904	791.522	-1210.32	-418.798
0.613261	780.507	-1199.3	-418.798
0.624617	777.698	-1196.5	-418.798
0.635974	784.967	-1203.77	-418.798
0.647331	794.26	-1213.06	-418.798
0.658687	798.832	-1217.63	-418.798
0.670044	798.303	-1217.1	-418.798
0.681401	795.407	-1214.2	-418.798
0.692757	793.036	-1211.83	-418.798
0.704114	792.634	-1211.43	-418.798
0.715471	794.086	-1212.88	-418.798
0.726827	797.153	-1215.95	-418.798
0.738184	801.826	-1220.62	-418.799
0.749541	804.532	-1223.33	-418.799
0.760897	802.579	-1221.38	-418.799
0.772254	798.018	-1216.82	-418.799
0.783611	792.653	-1211.45	-418.799
0.794967	785.051	-1203.85	-418.799
0.806324	774.703	-1193.5	-418.799
0.817681	765.177	-1183.98	-418.799
0.829037	760.422	-1179.22	-418.799
0.840394	761.034	-1179.83	-418.799
0.851751	766.345	-1185.14	-418.799
0.863107	774.517	-1193.32	-418.799
0.874464	780.397	-1199.2	-418.799
0.885821	781.202	-1200	-418.798
0.897177	780.808	-1199.61	-418.798
0.908534	783.926	-1202.72	-418.798
0.919891	791.129	-1209.93	-418.799
0.931247	798.434	-1217.23	-418.799
0.942604	803.587	-1222.39	-418.798
0.953961	806.839	-1225.64	-418.798
0.965318	805.167	-1223.97	-418.798
0.976674	799.345	-1218.14	-418.798
0.988031	795.65	-1214.45	-418.798
0.999388	793.338	-1212.14	-418.798
1.01074	787.134	-1205.93	-418.798
1.0221	778.113	-1196.91	-418.798
1.03346	771.93	-1190.73	-418.798
1.04481	772.52	-1191.32	-418.798
1.05617	779.394	-1198.19	-418.798
1.06753	790.329	-1209.13	-418.798
1.07888	801.668	-1220.47	-418.798
1.09024	809.621	-1228.42	-418.798
1.1016	812.359	-1231.16	-418.798
1.11295	810.337	-1229.14	-418.798
1.12431	805.947	-1224.75	-418.798
1.13567	803.073	-1221.87	-418.798
